OCC_TITLE	H_MEAN
Management Occupations	68.15
Top Executives	67.24
Chief Executives	126.41
Chief Executives	126.41
General and Operations Managers	64.00
General and Operations Managers	64.00
Legislators	*
Legislators	*
Advertising, Marketing, Promotions, Public Relations, and Sales Managers	78.72
Advertising and Promotions Managers	71.76
Advertising and Promotions Managers	71.76
Marketing and Sales Managers	79.35
Marketing Managers	82.46
Sales Managers	77.37
Public Relations and Fundraising Managers	74.49
Public Relations Managers	78.61
Fundraising Managers	66.01
Operations Specialties Managers	77.21
Administrative Services and Facilities Managers	58.62
Administrative Services Managers	60.59
Facilities Managers	55.06
Computer and Information Systems Managers	90.38
Computer and Information Systems Managers	90.38
Financial Managers	86.76
Financial Managers	86.76
Industrial Production Managers	62.11
Industrial Production Managers	62.11
Purchasing Managers	72.42
Purchasing Managers	72.42
Transportation, Storage, and Distribution Managers	55.77
Transportation, Storage, and Distribution Managers	55.77
Compensation and Benefits Managers	75.11
Compensation and Benefits Managers	75.11
Human Resources Managers	77.15
Human Resources Managers	77.15
Training and Development Managers	67.59
Training and Development Managers	67.59
Other Management Occupations	58.44
Farmers, Ranchers, and Other Agricultural Managers	46.75
Farmers, Ranchers, and Other Agricultural Managers	46.75
Construction Managers	57.53
Construction Managers	57.53
Education and Childcare Administrators	52.63
Education and Childcare Administrators, Preschool and Daycare	30.12
Education Administrators, Kindergarten through Secondary	*
Education Administrators, Postsecondary	59.83
Education Administrators, All Other	47.82
Architectural and Engineering Managers	84.48
Architectural and Engineering Managers	84.48
Food Service Managers	34.79
Food Service Managers	34.79
Entertainment and Recreation Managers	42.68
Gambling Managers	49.27
Entertainment and Recreation Managers, Except Gambling	41.86
Lodging Managers	37.24
Lodging Managers	37.24
Medical and Health Services Managers	66.22
Medical and Health Services Managers	66.22
Natural Sciences Managers	83.41
Natural Sciences Managers	83.41
Postmasters and Mail Superintendents	45.08
Postmasters and Mail Superintendents	45.08
Property, Real Estate, and Community Association Managers	39.77
Property, Real Estate, and Community Association Managers	39.77
Social and Community Service Managers	41.39
Social and Community Service Managers	41.39
Emergency Management Directors	46.97
Emergency Management Directors	46.97
Personal Service Managers	37.97
Funeral Home Managers	41.18
Personal Service Managers, All Other	33.95
Miscellaneous Managers	72.06
Managers, All Other	72.06
Business and Financial Operations Occupations	45.04
Business Operations Specialists	43.76
Agents and Business Managers of Artists, Performers, and Athletes	79.62
Agents and Business Managers of Artists, Performers, and Athletes	79.62
Buyers and Purchasing Agents	39.29
Buyers and Purchasing Agents	39.29
Claims Adjusters, Appraisers, Examiners, and Investigators	37.85
Claims Adjusters, Examiners, and Investigators	37.87
Insurance Appraisers, Auto Damage	37.04
Compliance Officers	40.86
Compliance Officers	40.86
Cost Estimators	39.98
Cost Estimators	39.98
Human Resources Workers	38.88
Human Resources Specialists	38.33
Farm Labor Contractors	24.96
Labor Relations Specialists	46.70
Logisticians and Project Management Specialists	50.10
Logisticians	42.12
Project Management Specialists	51.97
Management Analysts	55.15
Management Analysts	55.15
Meeting, Convention, and Event Planners	31.29
Meeting, Convention, and Event Planners	31.29
Fundraisers	35.16
Fundraisers	35.16
Compensation, Benefits, and Job Analysis Specialists	39.86
Compensation, Benefits, and Job Analysis Specialists	39.86
Training and Development Specialists	35.46
Training and Development Specialists	35.46
Market Research Analysts and Marketing Specialists	41.58
Market Research Analysts and Marketing Specialists	41.58
Miscellaneous Business Operations Specialists	44.41
Business Operations Specialists, All Other	44.41
Financial Specialists	48.12
Accountants and Auditors	44.96
Accountants and Auditors	44.96
Property Appraisers and Assessors	37.10
Property Appraisers and Assessors	37.10
Budget Analysts	45.15
Budget Analysts	45.15
Credit Analysts	47.14
Credit Analysts	47.14
Financial Analysts and Advisors	61.74
Financial and Investment Analysts	56.01
Personal Financial Advisors	77.02
Insurance Underwriters	43.67
Financial Risk Specialists	57.66
Financial Examiners	49.83
Financial Examiners	49.83
Credit Counselors and Loan Officers	40.08
Credit Counselors	26.87
Loan Officers	41.35
Tax Examiners, Collectors and Preparers, and Revenue Agents	30.06
Tax Examiners and Collectors, and Revenue Agents	32.49
Tax Preparers	28.30
Miscellaneous Financial Specialists	45.14
Financial Specialists, All Other	45.14
Computer and Mathematical Occupations	56.16
Computer Occupations	56.14
Computer and Information Analysts	55.83
Computer Systems Analysts	53.83
Information Security Analysts	61.41
Computer and Information Research Scientists	73.23
Computer and Information Research Scientists	73.23
Computer Support Specialists	32.47
Computer Network Support Specialists	38.27
Computer User Support Specialists	31.25
Database and Network Administrators and Architects	55.69
Computer Network Architects	65.33
Database Administrators	51.65
Database Architects	68.57
Network and Computer Systems Administrators	48.65
Software and Web Developers, Programmers, and Testers	65.34
Computer Programmers	49.83
Software Developers	69.50
Software Quality Assurance Analysts and Testers	53.01
Web Developers	47.50
Web and Digital Interface Designers	53.58
Miscellaneous Computer Occupations	56.11
Computer Occupations, All Other	56.11
Mathematical Science Occupations	56.34
Actuaries	64.90
Actuaries	64.90
Mathematicians	58.91
Mathematicians	58.91
Operations Research Analysts	47.66
Operations Research Analysts	47.66
Statisticians	54.01
Statisticians	54.01
Data Scientists	59.90
Data Scientists	59.90
Miscellaneous Mathematical Science Occupations	40.72
Mathematical Science Occupations, All Other	40.72
Architecture and Engineering Occupations	49.99
